Name,ID,Ratings,Windows,Web,Mac,Linux
Lost in Translation (and space),696954,152,False,True,False,False
Programmable Panda!,695620,9,True,False,False,False
"Cat, NO!",696834,38,False,True,False,False
Otsukare!,699094,13,True,False,False,False
Uniqueness Of Ideas,695157,11,True,False,False,False
Kipo,698177,27,False,True,False,False
Fox Walx,687449,47,False,True,False,False
Mission Space Pizza,698304,8,True,False,False,False
Hero's path,697937,11,True,False,False,False
Crab Racing!,695661,28,False,True,False,False
Blazing Keys,698682,13,True,False,False,False
The Mayhem,696862,8,False,False,False,False
Out Of Control Farm,697896,28,False,True,False,False
Pig Lebowski,696024,35,True,False,False,False
Glitch,700404,8,True,False,False,False
Crazy Sweet,688733,36,False,True,False,False
Coffee Craze,700628,17,True,False,False,False
Four-Wheels-Drive,693502,28,True,True,False,False
Slimulation,697641,9,True,False,False,False
Oblivious Oliver,697428,8,False,False,False,False
Out of Space,700337,8,True,False,False,False
Everyday Curling,695678,15,True,False,False,True
Control Freaks,697660,12,True,False,False,False
Worst Warlock - GMTK 2020,696632,8,True,False,False,False
Anomaly,696443,35,True,False,False,False
Please Stay Dead,697629,16,True,False,False,False
Wacky Tanky,698444,19,False,True,False,False
Cartastrophe,698557,20,False,False,False,False
Super Corgi Drifter,697215,56,False,True,False,False
Communication Delay,699917,9,True,False,False,False
Jamzone,693163,28,True,True,True,True
Smashcart Ultra,696421,31,True,False,True,True
SlimEscape,698726,14,True,False,False,False
Snake Shepard,700910,20,False,True,False,False
PARTY HARDER,695867,0,False,True,False,False
Slip Zones,696050,19,False,True,False,False
Lights out!,698293,8,True,False,False,False
Unruly Beams,695202,50,True,True,False,False
"Houston, we have a problem",699484,8,False,False,False,False
Regular Hand,695640,22,True,False,True,True
Laser Catstronauts!,694893,14,True,False,False,False
Cuboidal Control,699496,9,True,False,False,False
upLink.exe,700006,10,True,False,False,False
Budget Bot Simulator 50k,698405,12,True,False,False,False
DRIFTWORLD,697244,36,True,True,True,True
Alt of Ctrl,693389,23,True,False,False,False
Sleep Rider,698145,9,True,False,False,False
Super Spendthrift,695700,28,False,True,False,False
The Pandora Key,696959,9,True,False,False,False
It is not a game ok.,396748,12,True,False,False,False
Overboard,700149,16,False,True,False,False
SUPERBALL,693248,12,True,False,False,False
Channel Surfing,700099,8,False,False,False,False
Holey Ship!,699254,8,True,False,True,True
Lonely Slime,700686,23,True,False,False,False
No Control,696081,15,True,False,True,True
Emotional balance,699745,35,True,False,True,False
Bar Brawl,695761,26,True,True,False,False
Elevalence,698346,13,True,False,False,False
PushBox,696623,9,True,False,False,False
Short Circuit - Game Jam Version,700151,8,False,False,False,False
AstroCrash,698978,24,False,True,False,False
Haywire Toy Factory,695254,27,True,True,False,False
chaos lab,699341,16,False,True,False,False
Quantum Pulse,699893,11,True,False,False,False
Rotation is optional,693094,17,True,True,False,True
Lazer Eradicator,696015,22,False,True,False,False
boomcrunk,695645,84,True,True,False,False
Forgetful Berry's Quest,698699,9,True,False,False,False
yeet,700200,9,False,False,False,False
Chaos Garden,695380,20,False,True,False,False
The car spins sometimes,694819,20,True,True,False,False
Choose Rushly,696642,11,True,False,False,False
GET OUT OF CONTROL,694925,8,False,False,False,False
Meme Makin' Monkeys! (Unfinished GMTK jam game),693387,16,False,True,False,False
Caked Out,695169,17,False,True,False,False
Hacked!,697182,11,True,False,False,False
Too Many Keys,695064,11,False,False,False,False
Losing Control,695353,8,False,False,False,False
The World Order,698687,23,True,True,False,False
STORM A BREWIN',697610,29,False,True,False,False
Running Leroy,694771,21,False,True,False,False
Layoff,700620,15,True,False,False,False
Alien Outbreak,698106,9,False,False,False,False
VINES,677347,47,False,True,False,False
Control Shot,695835,10,True,False,True,True
The Out of Control Train That's Out of Control,694749,18,False,True,False,False
Runaway Jay,698165,18,True,True,False,False
SYNTHEPOSER,698520,22,True,False,False,False
Repeat,695648,24,True,True,True,True
Slip_N_Slide,697404,8,True,False,False,False
Very poorly designed ship,700185,31,False,True,False,False
Space Jammer,699667,9,True,False,True,False
Dimension Bounce,699671,9,False,False,False,False
Thou Shalt Not Kill,694373,30,False,True,False,False
Out of control,698070,8,True,False,False,False
SCKOLB,700580,9,True,False,False,False
Nitty Gritty Dungeon,699399,18,False,True,False,False
Flagger,632344,37,True,True,False,False
OoC Chess,694733,9,False,False,False,False
Asking Her Out,699186,8,True,False,False,False
Home trouble,699715,14,False,True,False,False
Artistic Representation of A Life,697311,29,False,True,False,False
Outlaw Outrun,699320,22,True,False,False,False
Fruits of the Apocalypse,698462,11,False,False,False,False
LITTLE FRIENDS SHARE THE PLANET,694578,58,False,True,False,False
The Tower,696882,191,True,True,False,False
Path Monsters,697568,16,False,True,False,False
Out of Control,694443,20,True,True,False,False
Enter the boid,695085,11,True,False,False,False
Energy To Control,699937,8,True,False,False,False
The Orb,696697,36,False,True,False,False
LaserAngle,694154,14,True,False,False,False
THE BISMUTH PACT,693891,20,False,True,False,False
Pilot 41,696288,12,True,False,False,False
Video Exorcist,695729,112,False,True,False,False
Space Jerks,698774,10,True,False,False,False
Untitled Dinosaur Game,696810,37,False,True,False,False
ALCHONAUTS - Outta Control ! (Can they be stopped? will they be stopped? probably not.),697612,19,False,True,False,False
Private Eye,695951,25,False,True,False,False
Reforming Light (GMTK 2020 Game Jam Submission),696451,15,False,True,False,False
Crossing Mayhem,699240,8,True,False,False,False
Roll And Pray,695720,46,False,True,False,False
Frenesí,699965,25,False,True,False,False
Hog Wild,698550,8,True,False,False,False
Car Bounce,696189,32,False,True,False,False
Death of the Party,694863,24,True,True,False,False
Detective Laser,698915,17,True,False,False,False
Rotato Ship,694569,127,False,True,False,False
Caveluck,700768,10,True,False,False,True
Ctrl Control,695090,9,True,False,False,False
Stocks are outta control,698731,12,True,False,True,False
Tick,695492,26,False,False,False,False
Night Fishing,697894,10,True,False,False,False
Toggle Arena,695027,80,True,True,True,True
Panicman,696815,9,False,False,False,False
HellKeeper,696235,8,True,False,False,False
Rowdy Round-Up (GMTK Game Jam 2020),695559,8,True,False,False,False
Bomber's Pass,698811,8,True,False,False,False
Over-Fed,696445,8,False,False,False,False
Blazing Battlestar,694766,21,False,True,False,False
Eugene From Eugene's Celestial Meltdown,696236,48,True,False,False,False
Covid Control,694594,36,False,True,False,False
Ice Canyon,695194,8,True,False,False,False
Downhill Ski Bomb,699694,9,True,False,False,False
Mutation: Genetics Out of Control,697565,13,True,False,True,True
ROW! ROW!,696728,24,True,True,False,False
The Trolley Problem Simulator 2020,699505,18,False,True,False,False
Off Course,696965,8,False,False,False,False
Hiccup,697402,25,False,True,False,False
Everday Joe: Just a (Not) Regular Day,699149,9,False,False,False,False
Chicken'd Out,698034,40,True,True,False,False
No control,696427,20,False,True,False,False
leave me alone,697265,8,True,False,False,False
Headless Chicken,699326,34,False,True,False,False
Reactor Control,697847,14,False,True,False,False
Core Control,695256,11,True,False,True,False
Key stroke,698471,24,False,True,False,False
Infestation,699452,11,True,False,True,True
The Interview,700093,21,False,True,False,False
Bestseller,694007,9,True,False,False,False
Gunner Platformer,607331,9,True,False,False,False
Bullet Train Hell,699143,15,True,False,False,False
Interview Simulator,694461,50,False,True,False,False
Disposable Trigger,697346,8,True,False,True,False
Event of the Year,699304,10,True,False,False,False
Grasshopper Attack,697241,8,True,False,False,False
Glorious Zagorgkzkiy Test Facility No.37,694912,10,False,False,False,False
Not You Mary Lu,694903,22,True,False,False,False
Hugh's Dream,695097,24,False,True,False,False
A Bloody Escape,698327,11,True,False,False,False
Daddy's Job,700459,8,True,False,False,False
UntitledRocketGame,698658,8,False,False,False,False
inControl,697209,35,False,True,False,False
Dating the Pilot,700065,11,True,False,False,False
Oh no!,699235,9,True,False,False,False
Don't Shoot!,700456,21,True,False,False,False
Engine Juggle,693626,31,False,True,False,False
a Walk With Sunshine,694929,9,True,False,False,False
Atitude Control,697101,16,False,True,False,False
Area Control,700329,9,True,False,True,False
The Cooky Capers of a Cranky Clown Capitalist,694621,25,True,True,False,False
Ill Fated Quest,698772,8,True,False,False,False
Cursor's Curse,694119,19,True,False,True,True
Hungry Squirrel,697479,24,True,True,False,False
Beach blast,696476,23,True,True,False,False
Timmy's Revenge,698752,8,True,False,False,False
Incompetent Devs,697421,15,False,False,False,False
I DID NOT WANT THAT CARD !,699683,14,True,False,False,False
Rock Paper Random,699018,18,False,True,False,False
Cushin Pushin,699410,31,False,True,False,False
Remote Hell,698233,9,True,False,True,True
Boozetastic Broomsticks,697771,12,True,False,True,False
Jonny Likes Flowers,694372,10,True,False,True,True
The Singing Knight-GameJam,700229,8,True,False,False,False
DrunkRun,699268,8,True,False,False,False
Finding Clara,694804,25,False,True,False,False
Cowboy Cookie,697129,16,True,False,False,False
Ex Umbris.,693989,26,False,True,False,False
(In)sanity,697879,27,True,False,False,False
Control Co,695301,32,True,False,False,False
Useful Possession,698739,6,False,False,False,False
Lose Control,694100,33,True,True,True,False
Hot Crucible,699642,9,True,False,False,False
Avalanche!,694313,8,True,False,False,False
Out of Shock,696501,9,True,False,False,True
Darkview,693129,9,True,False,False,False
OOC Driver,698151,8,False,False,False,False
Malfunction,698370,17,True,True,False,False
DROOC,700564,8,False,False,False,False
Out of Ctrl,697469,39,False,True,False,False
Fire Flighter,700434,28,False,True,False,False
Virus Attack,695803,43,False,True,False,False
One Button Dash (GMTK),698201,16,False,True,False,False
Stranded Monster,698199,30,True,False,False,False
Paper Know-how,695248,9,True,False,False,False
Grass,697286,28,False,True,False,False
When Hoglets Fly,698884,8,False,False,False,False
Space Terminal Zero,699413,8,False,False,False,False
Cant Stop!,695934,9,True,False,False,False
Super ControlBoy,695776,26,True,True,False,False
NOTCOOLTOOL,699259,10,True,False,True,True
Floor is Lava,697371,20,True,True,False,False
Boogie Wizard,699340,8,False,False,False,False
Tower Tour,684181,37,True,False,False,False
Ship Taker,699743,8,False,False,False,False
Out of my Hands!,699528,9,True,False,False,False
Heatstroke,694779,25,True,False,False,False
MusicFlow,699256,41,False,True,False,False
(K)night Out,693518,20,False,True,False,False
ハトとホットドッグ,699085,9,False,False,False,False
Terminal Hellocity,698071,26,False,True,False,False
Box Circle Thunder,699872,8,True,False,False,False
Error 219,700022,9,True,False,True,True
AXYB,699737,9,True,False,False,False
Inbox Zero,695666,10,True,False,False,False
Lost and Found and Lost and Found,694833,17,True,False,True,False
Don't shoot the dynamite,700161,9,True,False,False,False
Simple Chess [GMTK Game Jam 2020],695614,27,True,True,True,True
!!Fire Out Of Control!!,696467,12,True,False,False,False
Out of Controll: The Visual Novel,699768,7,False,False,False,False
Farm Control,697292,8,True,False,True,True
Hoverboard Heist,699835,8,True,False,False,False
:c,698591,8,True,False,False,False
Out of Control: A Visual Novel,696753,19,False,True,False,False
Tower Offence,698100,11,False,False,False,False
Out Of Controllers,697683,16,False,True,False,False
Uncontrollably  Ghosts,694761,28,False,True,False,False
Disorderly Drone,697770,17,False,True,False,False
